Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah
2023-10-06,6.075,6.05,6.15,6.05
2023-10-09,6.125,6.15,6.225,6.1
2023-10-10,6.05,6.175,6.175,6.05
2023-10-11,6.05,6.075,6.125,6.05
2023-10-12,5.95,6.0,6.025,5.95
2023-10-13,5.975,6.0,6.025,5.95
2023-10-16,5.85,5.925,5.975,5.825
2023-10-17,5.85,5.875,5.925,5.85
2023-10-18,5.825,5.85,6.0,5.825
2023-10-19,5.725,5.825,5.85,5.7
2023-10-20,5.7,5.675,5.75,5.65
2023-10-23,5.6,5.725,5.75,5.6
2023-10-24,5.8,5.6,5.85,5.6
2023-10-25,5.775,5.825,5.925,5.775
2023-10-26,5.725,5.775,5.8,5.675
2023-10-27,5.725,5.75,5.775,5.725
2023-10-30,5.8,5.75,5.825,5.675
2023-10-31,5.775,5.85,5.9,5.775
2023-11-01,5.8,5.9,6.0,5.8
2023-11-02,5.8,5.85,5.9,5.8
2023-11-03,5.9,5.85,5.925,5.825
2023-11-06,5.925,5.925,5.95,5.9
2023-11-07,5.825,5.925,5.95,5.775
2023-11-08,5.725,5.8,5.825,5.675
2023-11-09,5.75,5.775,5.825,5.725
2023-11-10,5.775,5.725,5.775,5.725
2023-11-13,5.65,5.825,5.825,5.65
2023-11-14,5.675,5.675,5.725,5.65
2023-11-15,5.75,5.75,5.85,5.7
2023-11-16,5.825,5.75,5.825,5.725
2023-11-17,5.7,5.8,5.825,5.7
2023-11-20,5.8,5.725,5.85,5.7
2023-11-21,5.775,5.8,5.85,5.75
2023-11-22,5.675,5.775,5.775,5.65
2023-11-23,5.7,5.675,5.725,5.675
2023-11-24,5.725,5.7,5.75,5.7
2023-11-27,5.625,5.725,5.75,5.6
2023-11-28,5.55,5.675,5.675,5.55
2023-11-29,5.525,5.6,5.65,5.525
2023-11-30,5.4,5.575,5.575,5.4
2023-12-01,5.75,5.45,5.75,5.45
2023-12-04,5.75,5.75,5.825,5.725
2023-12-05,5.725,5.775,5.8,5.675
2023-12-06,5.725,5.7,5.825,5.7
2023-12-07,5.675,5.75,5.75,5.6
2023-12-08,5.675,5.675,5.7,5.625
2023-12-11,5.6,5.65,5.675,5.525
2023-12-12,5.575,5.675,5.675,5.55
2023-12-13,5.525,5.55,5.6,5.525
2023-12-14,5.625,5.6,5.65,5.575
2023-12-15,5.65,5.625,5.7,5.6
2023-12-18,5.6,5.65,5.65,5.55
2023-12-19,5.625,5.625,5.65,5.6
2023-12-20,5.625,5.65,5.7,5.625
2023-12-21,5.55,5.6,5.6,5.475
2023-12-22,5.55,5.55,5.6,5.5
2023-12-27,5.55,5.55,5.575,5.5
2023-12-28,5.6,5.575,5.6,5.55
2023-12-29,5.65,5.6,5.675,5.575
2024-01-02,5.7,5.625,5.7,5.575
2024-01-03,5.6,5.7,5.7,5.6
2024-01-04,5.7,5.6,5.75,5.6
2024-01-05,5.625,5.725,5.75,5.625
2024-01-08,5.575,5.625,5.675,5.55
2024-01-09,5.575,5.6,5.6,5.525
2024-01-10,5.525,5.5,5.575,5.45
2024-01-11,5.55,5.55,5.625,5.525
2024-01-12,5.6,5.55,5.625,5.55
2024-01-15,5.525,5.6,5.625,5.5
2024-01-16,5.5,5.525,5.525,5.475
2024-01-17,5.4,5.5,5.525,5.35
2024-01-18,5.375,5.4,5.4,5.325
2024-01-19,5.35,5.375,5.4,5.3
2024-01-22,5.225,5.35,5.425,5.225
2024-01-23,5.125,5.15,5.2,5.075
2024-01-24,5.075,5.15,5.175,4.98
2024-01-25,5.05,5.075,5.15,5.025
2024-01-26,5.075,5.05,5.075,4.99
2024-01-29,4.93,5.075,5.075,4.91
2024-01-30,5.1,4.92,5.175,4.9
2024-01-31,5.125,5.125,5.15,5.05
2024-02-01,5.125,5.1,5.175,5.075
2024-02-02,5.325,5.15,5.325,5.125
2024-02-05,5.175,5.325,5.35,5.15
2024-02-06,5.25,5.175,5.275,5.15
2024-02-07,5.325,5.25,5.325,5.25
2024-02-12,5.3,5.3,5.35,5.225
2024-02-13,5.2,5.3,5.3,5.15
2024-02-15,5.125,5.325,5.325,5.075
2024-02-16,5.2,5.125,5.2,5.1
2024-02-19,5.125,5.2,5.25,5.075
2024-02-20,5.2,5.125,5.25,5.125
2024-02-21,5.25,5.2,5.3,5.175
2024-02-22,5.275,5.275,5.3,5.275
2024-02-23,5.125,5.25,5.275,5.1
2024-02-26,5.125,5.15,5.2,5.075
2024-02-27,5.175,5.125,5.175,5.05
2024-02-28,5.225,5.325,5.425,5.2
2024-02-29,5.225,5.25,5.3,5.2
2024-03-01,5.225,5.225,5.275,5.15
2024-03-04,5.2,5.25,5.275,5.175
2024-03-05,5.1,5.225,5.225,5.1
2024-03-06,5.175,5.125,5.2,5.1
2024-03-07,5.125,5.175,5.2,5.1
2024-03-08,5.15,5.15,5.175,5.125
2024-03-13,5.15,5.15,5.2,5.125
2024-03-14,5.275,5.175,5.3,5.15
2024-03-15,5.175,5.3,5.3,5.175
2024-03-18,5.15,5.2,5.25,5.15
2024-03-19,5.225,5.15,5.25,5.15
2024-03-20,5.275,5.225,5.275,5.225
2024-03-21,5.35,5.3,5.4,5.275
2024-03-22,5.375,5.375,5.375,5.325
2024-03-25,5.35,5.375,5.425,5.325
2024-03-26,5.3,5.35,5.375,5.25
2024-03-27,5.275,5.3,5.325,5.25
2024-03-28,5.15,5.275,5.275,5.1
2024-04-01,5.2,5.175,5.225,5.15
2024-04-02,5.275,5.225,5.275,5.175
2024-04-03,5.25,5.275,5.275,5.2
2024-04-04,5.175,5.25,5.25,5.15
2024-04-05,5.275,5.15,5.325,5.15
2024-04-16,5.1,5.175,5.225,5.1
2024-04-17,5.125,5.15,5.175,5.1
2024-04-18,5.1,5.15,5.15,5.05
2024-04-19,4.9,5.05,5.075,4.87
2024-04-22,4.95,4.94,4.99,4.94
2024-04-23,5.025,4.99,5.075,4.99
2024-04-24,4.91,5.0,5.05,4.91
2024-04-25,4.95,4.91,4.98,4.91
2024-04-26,4.88,4.98,4.98,4.88
2024-04-29,5.025,4.92,5.05,4.9
2024-04-30,5.15,5.05,5.225,4.98
2024-05-02,5.175,5.225,5.275,5.175
2024-05-03,5.225,5.225,5.25,5.2
2024-05-06,5.1,5.25,5.25,5.075
2024-05-07,5.05,5.1,5.125,5.025
2024-05-08,5.125,5.075,5.15,5.0
2024-05-13,5.075,5.15,5.175,5.075
2024-05-14,4.58,4.68,4.69,4.58
2024-05-15,4.53,4.57,4.62,4.53
2024-05-16,4.71,4.59,4.72,4.54
2024-05-17,4.8,4.71,4.81,4.69
2024-05-20,4.74,4.8,4.83,4.73
2024-05-21,4.7,4.75,4.77,4.7
2024-05-22,4.71,4.72,4.73,4.7
2024-05-27,4.55,4.7,4.72,4.55
2024-05-28,4.51,4.56,4.6,4.51
2024-05-29,4.46,4.8,4.8,4.37
2024-05-30,4.32,4.45,4.45,4.31
2024-05-31,4.29,4.34,4.37,4.29
2024-06-03,4.5,4.33,4.53,4.33
2024-06-04,4.58,4.51,4.63,4.48
2024-06-05,4.6,4.56,4.64,4.55
2024-06-06,4.56,4.62,4.62,4.53
2024-06-07,4.56,4.55,4.57,4.53
2024-06-10,4.51,4.56,4.56,4.5
2024-06-11,4.35,4.5,4.5,4.35
2024-06-12,4.36,4.35,4.41,4.29
2024-06-13,4.46,4.41,4.48,4.4
2024-06-14,4.42,4.48,4.53,4.41
2024-06-19,4.45,4.45,4.51,4.42
2024-06-20,4.45,4.44,4.47,4.36
2024-06-21,4.49,4.45,4.53,4.41
2024-06-24,4.43,4.48,4.5,4.41
2024-06-25,4.4,4.44,4.44,4.36
2024-06-26,4.42,4.4,4.45,4.37
2024-06-27,4.43,4.43,4.44,4.4
2024-06-28,4.46,4.43,4.56,4.43
2024-07-01,4.62,4.49,4.62,4.49
2024-07-02,4.53,4.61,4.62,4.51
2024-07-03,4.57,4.55,4.58,4.52
2024-07-04,4.55,4.58,4.61,4.55
2024-07-05,4.58,4.57,4.61,4.54
2024-07-08,4.64,4.6,4.64,4.56
2024-07-09,4.56,4.62,4.62,4.54
2024-07-10,4.54,4.57,4.58,4.52
2024-07-11,4.51,4.55,4.6,4.5
2024-07-12,4.54,4.51,4.57,4.5
2024-07-15,4.47,4.54,4.55,4.46
2024-07-16,4.38,4.48,4.49,4.38
2024-07-17,4.46,4.42,4.47,4.4
2024-07-18,4.54,4.47,4.54,4.46
2024-07-19,4.53,4.52,4.54,4.48
2024-07-22,4.52,4.53,4.54,4.48
2024-07-23,4.45,4.51,4.53,4.45
2024-07-24,4.53,4.47,4.56,4.46
2024-07-25,4.49,4.53,4.53,4.45
2024-07-26,4.61,4.5,4.62,4.5
2024-07-29,4.61,4.62,4.63,4.58
2024-07-30,4.54,4.61,4.61,4.52
2024-07-31,4.72,4.62,4.73,4.59
2024-08-01,4.74,4.7,4.74,4.66
2024-08-02,4.69,4.71,4.74,4.67
2024-08-05,4.56,4.64,4.65,4.52
2024-08-06,4.61,4.6,4.62,4.54
2024-08-07,4.63,4.6,4.63,4.56
2024-08-08,4.74,4.62,4.75,4.6
2024-08-09,4.76,4.76,4.79,4.73
2024-08-12,4.76,4.76,4.78,4.72
2024-08-13,4.76,4.8,4.8,4.74
2024-08-14,4.89,4.8,4.93,4.77
2024-08-15,4.89,4.89,4.92,4.84
2024-08-16,4.97,4.9,4.99,4.9
2024-08-19,5.025,4.97,5.05,4.94
2024-08-20,5.125,5.05,5.15,5.025
2024-08-21,5.075,5.15,5.225,5.075
2024-08-22,5.0,5.025,5.05,4.99
2024-08-23,5.1,5.05,5.175,5.05
2024-08-26,5.15,5.125,5.2,5.125
2024-08-27,5.15,5.15,5.175,5.075
2024-08-28,5.025,5.15,5.15,5.0
2024-08-29,5.075,5.05,5.075,5.0
2024-08-30,5.1,5.075,5.125,5.025
2024-09-02,5.2,5.1,5.225,5.1
2024-09-03,5.125,5.225,5.225,5.125
2024-09-04,5.05,5.05,5.1,5.025
2024-09-05,5.075,5.075,5.125,5.05
2024-09-06,5.05,5.05,5.125,5.05
2024-09-09,5.025,5.05,5.1,5.0
2024-09-10,5.025,5.075,5.1,5.0
2024-09-11,5.025,5.025,5.05,5.0
2024-09-12,5.025,5.025,5.075,5.025
2024-09-13,5.075,5.025,5.075,5.025
2024-09-17,5.075,5.075,5.1,5.025
2024-09-18,5.25,5.1,5.275,5.075
2024-09-19,5.275,5.275,5.275,5.2
2024-09-20,5.225,5.275,5.275,5.2
2024-09-23,5.225,5.25,5.275,5.225
2024-09-24,5.275,5.25,5.275,5.225
2024-09-25,5.225,5.3,5.3,5.15
2024-09-26,5.25,5.25,5.275,5.175
2024-09-27,5.1,5.275,5.275,5.05
2024-09-30,5.05,5.1,5.1,5.0
2024-10-01,5.175,5.1,5.175,5.075
2024-10-02,5.15,5.15,5.15,5.05
2024-10-03,5.25,5.175,5.25,5.1
2024-10-04,5.15,5.25,5.25,5.1
2024-10-07,5.1,5.15,5.175,5.075
2024-10-08,5.225,5.1,5.225,5.075
2024-10-09,5.075,5.225,5.225,5.075
2024-10-10,5.125,5.1,5.125,5.075
2024-10-11,5.075,5.125,5.15,5.075
2024-10-14,4.93,5.025,5.025,4.92
2024-10-15,4.93,4.93,4.97,4.9
2024-10-16,4.96,4.95,4.96,4.9
2024-10-17,4.95,4.95,4.97,4.93
2024-10-18,4.92,4.96,4.96,4.92
2024-10-21,5.1,4.95,5.1,4.93
2024-10-22,5.275,5.125,5.275,5.1
2024-10-23,5.3,5.275,5.3,5.175
2024-10-24,5.275,5.3,5.3,5.2
2024-10-25,5.225,5.275,5.275,5.2
2024-10-28,5.25,5.25,5.25,5.125
2024-10-29,5.125,5.25,5.25,5.125
2024-10-30,5.2,5.125,5.2,5.05
2024-10-31,5.1,5.3,5.3,5.1
2024-11-01,5.075,5.125,5.175,5.05
2024-11-04,5.125,5.075,5.125,4.98
2024-11-05,5.175,5.125,5.2,5.075
2024-11-06,5.05,5.175,5.175,5.025
2024-11-07,5.0,5.05,5.075,5.0
2024-11-08,4.96,5.05,5.075,4.95
2024-11-11,4.97,4.96,4.99,4.85
2024-11-12,4.97,5.0,5.0,4.93
2024-11-13,5.025,5.0,5.025,4.95
2024-11-14,4.95,5.025,5.025,4.93
2024-11-15,4.94,4.94,4.96,4.92
2024-11-18,4.93,4.95,4.97,4.91
2024-11-19,4.97,4.93,4.97,4.9
2024-11-20,5.0,4.97,5.025,4.95
2024-11-21,4.89,4.99,4.99,4.89
2024-11-22,4.91,4.9,4.96,4.86
2024-11-25,5.175,4.95,5.175,4.94
2024-11-26,5.15,5.15,5.2,5.1
2024-11-28,5.125,5.2,5.225,5.125
2024-11-29,5.1,5.125,5.125,5.025
2024-12-02,4.94,5.1,5.15,4.9
2024-12-03,5.125,4.98,5.125,4.97
2024-12-04,5.225,5.1,5.225,5.075
2024-12-05,5.2,5.225,5.225,5.125
2024-12-06,5.15,5.15,5.175,5.05
2024-12-09,5.225,5.15,5.225,5.1
2024-12-10,5.225,5.2,5.225,5.15
2024-12-11,5.25,5.175,5.25,5.175
2024-12-12,5.1,5.15,5.225,5.05
2024-12-13,5.125,5.1,5.15,5.05
2024-12-16,5.125,5.075,5.15,5.0
2024-12-17,4.98,5.1,5.15,4.95
2024-12-18,5.0,4.98,5.05,4.96
2024-12-19,4.88,4.95,4.95,4.86
2024-12-20,4.87,4.88,4.9,4.85
2024-12-23,4.95,4.9,4.95,4.87
2024-12-24,4.88,4.94,4.98,4.88
2024-12-27,4.93,4.89,4.94,4.88
2024-12-30,4.9,4.93,4.94,4.88
2025-01-02,4.95,4.91,4.97,4.9
2025-01-03,4.95,4.95,4.97,4.92
2025-01-06,4.86,4.95,5.0,4.86
2025-01-07,4.92,4.86,4.92,4.85
2025-01-08,4.81,4.88,4.91,4.81
2025-01-09,4.93,4.83,4.95,4.83
2025-01-10,4.9,4.94,4.96,4.86
2025-01-13,4.75,4.91,4.92,4.72
2025-01-14,4.75,4.77,4.85,4.75
2025-01-15,4.94,4.79,4.94,4.78
2025-01-16,4.88,5.025,5.025,4.88
2025-01-17,4.94,4.86,4.97,4.84
2025-01-20,4.91,4.94,4.96,4.9
2025-01-21,4.91,4.93,4.97,4.9
2025-01-22,4.96,4.92,4.98,4.88
2025-01-23,4.9,4.96,4.98,4.9
2025-01-24,4.87,4.9,4.96,4.87
2025-01-30,4.78,4.87,4.87,4.78
2025-01-31,4.8,4.79,4.84,4.79
