Tanggal,Actual,Forecast,MAE,MAPE,MAPE%,RMSE
2024-07-01,4.62,4.81,0.19,0.04,471.52,0.04
2024-07-02,4.53,4.80,0.27,0.06,466.71,0.08
2024-07-03,4.57,4.79,0.22,0.05,468.01,0.05
2024-07-04,4.55,4.79,0.24,0.05,466.84,0.06
2024-07-05,4.58,4.80,0.22,0.05,468.89,0.05
2024-07-08,4.64,4.81,0.17,0.04,472.43,0.03
2024-07-09,4.56,4.81,0.25,0.05,468.25,0.06
2024-07-10,4.54,4.79,0.25,0.06,466.62,0.06
2024-07-11,4.51,4.79,0.28,0.06,464.87,0.08
2024-07-12,4.54,4.80,0.26,0.06,466.81,0.07
2024-07-15,4.47,4.81,0.34,0.08,463.84,0.11
2024-07-16,4.38,4.81,0.43,0.10,459.28,0.18
2024-07-17,4.46,4.79,0.33,0.07,462.72,0.11
2024-07-18,4.54,4.79,0.25,0.05,466.42,0.06
2024-07-19,4.53,4.79,0.26,0.06,466.24,0.07
2024-07-22,4.52,4.81,0.29,0.06,466.25,0.08
2024-07-23,4.45,4.81,0.36,0.08,462.78,0.13
2024-07-24,4.53,4.80,0.27,0.06,466.31,0.07
2024-07-25,4.49,4.79,0.30,0.07,463.97,0.09
2024-07-26,4.61,4.79,0.18,0.04,470.20,0.03
2024-07-29,4.61,4.80,0.19,0.04,470.67,0.04
2024-07-30,4.54,4.81,0.27,0.06,467.27,0.07
2024-07-31,4.72,4.80,0.08,0.02,475.88,0.01
2024-08-01,4.74,4.79,0.05,0.01,476.53,0.00
2024-08-02,4.69,4.79,0.10,0.02,474.16,0.01
2024-08-05,4.56,4.80,0.24,0.05,468.09,0.06
2024-08-06,4.61,4.81,0.20,0.04,470.75,0.04
2024-08-07,4.63,4.80,0.17,0.04,471.44,0.03
2024-08-08,4.74,4.79,0.05,0.01,476.59,0.00
2024-08-09,4.76,4.79,0.03,0.01,477.65,0.00
2024-08-12,4.76,4.80,0.04,0.01,478.03,0.00
2024-08-13,4.76,4.80,0.04,0.01,478.22,0.00
2024-08-14,4.89,4.80,0.09,0.02,484.49,0.01
2024-08-15,4.89,4.79,0.10,0.02,484.15,0.01
2024-08-16,4.97,4.79,0.18,0.04,488.14,0.03
2024-08-19,5.025,4.80,0.23,0.04,491.22,0.05
2024-08-20,5.125,4.80,0.32,0.06,496.44,0.10
2024-08-21,5.075,4.80,0.27,0.05,493.77,0.08
2024-08-22,5,4.79,0.21,0.04,489.70,0.04
2024-08-23,5.1,4.79,0.31,0.06,494.65,0.09
2024-08-26,5.15,4.80,0.35,0.07,497.42,0.12
2024-08-27,5.15,4.80,0.35,0.07,497.65,0.12
2024-08-28,5.025,4.80,0.22,0.04,491.30,0.05
2024-08-29,5.075,4.80,0.28,0.06,493.50,0.08
2024-08-30,5.1,4.79,0.31,0.06,494.66,0.09
2024-09-02,5.2,4.80,0.40,0.08,499.87,0.16
2024-09-03,5.125,4.80,0.32,0.06,496.36,0.10
2024-09-04,5.05,4.80,0.25,0.05,492.56,0.06
2024-09-05,5.075,4.80,0.28,0.05,493.55,0.08
2024-09-06,5.05,4.79,0.26,0.05,492.18,0.07
2024-09-09,5.025,4.80,0.23,0.05,491.09,0.05
2024-09-10,5.025,4.80,0.22,0.04,491.32,0.05
2024-09-11,5.025,4.80,0.22,0.04,491.31,0.05
2024-09-12,5.025,4.80,0.23,0.05,491.09,0.05
2024-09-13,5.075,4.79,0.28,0.06,493.45,0.08
2024-09-17,5.075,4.80,0.28,0.05,493.57,0.08
2024-09-18,5.25,4.80,0.45,0.09,502.53,0.20
2024-09-19,5.275,4.80,0.47,0.09,503.81,0.22
2024-09-20,5.225,4.80,0.43,0.08,501.13,0.18
2024-09-23,5.225,4.79,0.43,0.08,500.97,0.19
2024-09-24,5.275,4.80,0.48,0.09,503.55,0.23
2024-09-25,5.225,4.80,0.43,0.08,501.25,0.18
2024-09-26,5.25,4.80,0.45,0.09,502.56,0.20
2024-09-27,5.1,4.80,0.30,0.06,494.90,0.09
2024-09-30,5.05,4.79,0.26,0.05,492.25,0.07
2024-10-01,5.175,4.80,0.38,0.07,498.54,0.14
2024-10-02,5.15,4.80,0.35,0.07,497.47,0.12
2024-10-03,5.25,4.80,0.45,0.09,502.54,0.20
2024-10-04,5.15,4.80,0.35,0.07,497.43,0.12
2024-10-07,5.1,4.80,0.30,0.06,494.77,0.09
2024-10-08,5.225,4.80,0.43,0.08,501.04,0.18
2024-10-09,5.075,4.80,0.28,0.05,493.69,0.08
2024-10-10,5.125,4.80,0.32,0.06,496.28,0.11
2024-10-11,5.075,4.80,0.28,0.05,493.70,0.08
2024-10-14,4.93,4.80,0.13,0.03,486.30,0.02
2024-10-15,4.93,4.80,0.13,0.03,486.29,0.02
2024-10-16,4.96,4.80,0.16,0.03,487.91,0.03
2024-10-17,4.95,4.80,0.15,0.03,487.51,0.02
2024-10-18,4.92,4.80,0.12,0.02,485.96,0.01
2024-10-21,5.1,4.80,0.30,0.06,494.82,0.09
2024-10-22,5.275,4.80,0.48,0.09,503.54,0.23
2024-10-23,5.3,4.80,0.50,0.09,504.89,0.25
2024-10-24,5.275,4.80,0.48,0.09,503.75,0.23
2024-10-25,5.225,4.80,0.43,0.08,501.22,0.18
2024-10-28,5.25,4.80,0.45,0.09,502.35,0.21
2024-10-29,5.125,4.80,0.33,0.06,496.05,0.11
2024-10-30,5.2,4.80,0.40,0.08,499.88,0.16
2024-10-31,5.1,4.80,0.30,0.06,494.98,0.09
2024-11-01,5.075,4.80,0.28,0.05,493.72,0.08
2024-11-04,5.125,4.80,0.33,0.06,496.11,0.11
2024-11-05,5.175,4.80,0.38,0.07,498.56,0.14
2024-11-06,5.05,4.80,0.25,0.05,492.37,0.06
2024-11-07,5,4.80,0.20,0.04,489.96,0.04
2024-11-08,4.96,4.80,0.16,0.03,487.97,0.03
2024-11-11,4.97,4.80,0.17,0.03,488.38,0.03
2024-11-12,4.97,4.80,0.17,0.03,488.32,0.03
2024-11-13,5.025,4.80,0.23,0.05,491.11,0.05
2024-11-14,4.95,4.80,0.15,0.03,487.45,0.02
2024-11-15,4.94,4.80,0.14,0.03,486.97,0.02
2024-11-18,4.93,4.80,0.13,0.03,486.39,0.02
2024-11-19,4.97,4.80,0.17,0.03,488.33,0.03
2024-11-20,5,4.80,0.20,0.04,489.85,0.04
2024-11-21,4.89,4.80,0.09,0.02,484.43,0.01
2024-11-22,4.91,4.80,0.11,0.02,485.46,0.01
2024-11-25,5.175,4.80,0.38,0.07,498.66,0.14
2024-11-26,5.15,4.80,0.35,0.07,497.34,0.12
2024-11-27,5.10,4.80,0.30,0.06,495.00,0.09
2024-11-28,5.125,4.80,0.33,0.06,496.10,0.11
2024-11-29,5.1,4.80,0.30,0.06,494.92,0.09
2024-12-02,4.94,4.80,0.14,0.03,486.96,0.02
2024-12-03,5.125,4.80,0.33,0.06,496.16,0.11
2024-12-04,5.225,4.80,0.43,0.08,501.10,0.18
2024-12-05,5.2,4.80,0.40,0.08,499.85,0.16
2024-12-06,5.15,4.80,0.35,0.07,497.41,0.12
2024-12-09,5.225,4.80,0.43,0.08,501.20,0.18
2024-12-10,5.225,4.80,0.43,0.08,501.17,0.18
2024-12-11,5.25,4.80,0.45,0.09,502.36,0.21
2024-12-12,5.1,4.80,0.30,0.06,494.85,0.09
2024-12-13,5.125,4.80,0.33,0.06,496.15,0.11
2024-12-16,5.125,4.80,0.33,0.06,496.19,0.11
2024-12-17,4.98,4.80,0.18,0.04,488.93,0.03
2024-12-18,5,4.80,0.20,0.04,489.87,0.04
2024-12-19,4.88,4.80,0.08,0.02,483.85,0.01
2024-12-20,4.87,4.80,0.07,0.01,483.39,0.01
2024-12-23,4.95,4.80,0.15,0.03,487.44,0.02
2024-12-24,4.88,4.80,0.08,0.02,483.93,0.01
2024-12-27,4.93,4.80,0.13,0.03,486.38,0.02
2024-12-30,4.9,4.80,0.10,0.02,484.85,0.01
2024-12-31,4.81,4.80,0.01,0.00,480.35,0.00
2025-01-02,4.95,4.80,0.15,0.03,487.39,0.02
2025-01-03,4.95,4.80,0.15,0.03,487.43,0.02
2025-01-06,4.86,4.80,0.06,0.01,482.93,0.00
2025-01-07,4.92,4.80,0.12,0.02,485.89,0.01
2025-01-08,4.81,4.80,0.01,0.00,480.36,0.00
2025-01-09,4.93,4.80,0.13,0.03,486.38,0.02
2025-01-10,4.9,4.80,0.10,0.02,484.92,0.01
2025-01-13,4.75,4.80,0.05,0.01,477.43,0.00
2025-01-14,4.75,4.80,0.05,0.01,477.39,0.00
2025-01-15,4.94,4.80,0.14,0.03,486.86,0.02
2025-01-16,4.88,4.80,0.08,0.02,483.88,0.01
2025-01-17,4.94,4.80,0.14,0.03,486.92,0.02
2025-01-20,4.91,4.80,0.11,0.02,485.43,0.01
2025-01-21,4.91,4.80,0.11,0.02,485.40,0.01
2025-01-22,4.96,4.80,0.16,0.03,487.87,0.03
2025-01-23,4.9,4.80,0.10,0.02,484.88,0.01
2025-01-24,4.87,4.80,0.07,0.01,483.41,0.01
2025-01-30,4.78,4.80,0.02,0.00,478.92,0.00
,,,,4.87,,