date,actual  value,Forecast_TimeGPT,Forecast_SARIMAX,Forecast_ARIMA
2024-07-01,4.620,4.420,4.573,4.81
2024-07-02,4.530,4.496,4.527,4.80
2024-07-03,4.570,4.489,4.546,4.79
2024-07-04,4.550,4.584,4.578,4.79
2024-07-05,4.580,4.567,4.570,4.80
2024-07-08,4.640,4.655,4.591,4.81
2024-07-09,4.560,4.598,4.546,4.81
2024-07-10,4.540,4.515,4.529,4.79
2024-07-11,4.510,4.450,4.546,4.79
2024-07-12,4.540,4.456,4.545,4.80
2024-07-15,4.470,4.452,4.480,4.81
2024-07-16,4.380,4.451,4.401,4.81
2024-07-17,4.460,4.417,4.428,4.79
2024-07-18,4.540,4.432,4.503,4.79
2024-07-19,4.530,4.579,4.501,4.79
2024-07-22,4.520,4.546,4.498,4.81
2024-07-23,4.450,4.431,4.472,4.81
2024-07-24,4.530,4.513,4.519,4.80
2024-07-25,4.490,4.391,4.456,4.79
2024-07-26,4.610,4.609,4.577,4.79
2024-07-29,4.610,4.647,4.594,4.80
2024-07-30,4.540,4.524,4.540,4.81
2024-07-31,4.720,4.623,4.672,4.80
2024-08-01,4.740,4.719,4.689,4.79
2024-08-02,4.690,4.725,4.688,4.79
2024-08-05,4.560,4.557,4.545,4.80
2024-08-06,4.610,4.601,4.566,4.81
2024-08-07,4.630,4.646,4.590,4.80
2024-08-08,4.740,4.729,4.694,4.79
2024-08-09,4.760,4.723,4.749,4.79
2024-08-12,4.760,4.732,4.753,4.80
2024-08-13,4.760,4.747,4.763,4.80
2024-08-14,4.890,4.765,4.892,4.80
2024-08-15,4.890,4.926,4.892,4.79
2024-08-16,4.970,4.937,4.981,4.79
2024-08-19,5.025,5.014,5.018,4.80
2024-08-20,5.125,5.103,5.114,4.80
2024-08-21,5.075,5.150,5.159,4.80
2024-08-22,5.000,5.011,5.035,4.79
2024-08-23,5.100,5.151,5.163,4.79
2024-08-26,5.150,5.203,5.196,4.80
2024-08-27,5.150,5.105,5.123,4.80
2024-08-28,5.025,5.072,5.044,4.80
2024-08-29,5.075,5.020,5.041,4.80
2024-08-30,5.100,5.102,5.093,4.79
2024-09-02,5.200,5.158,5.213,4.80
2024-09-03,5.125,5.151,5.163,4.80
2024-09-04,5.050,5.048,5.080,4.80
2024-09-05,5.075,5.082,5.102,4.80
2024-09-06,5.050,5.081,5.117,4.79
2024-09-09,5.025,5.057,5.068,4.80
2024-09-10,5.025,5.041,5.056,4.80
2024-09-11,5.025,5.017,5.039,4.80
2024-09-12,5.025,5.023,5.074,4.80
2024-09-13,5.075,5.025,5.071,4.79
2024-09-17,5.250,5.049,5.066,4.80
2024-09-18,5.275,5.197,5.232,4.80
2024-09-19,5.225,5.236,5.238,4.80
2024-09-20,5.225,5.248,5.233,4.80
2024-09-23,5.275,5.258,5.262,4.79
2024-09-24,5.225,5.251,5.244,4.80
2024-09-25,5.250,5.207,5.181,4.80
2024-09-26,5.100,5.215,5.216,4.80
2024-09-27,5.050,5.150,5.109,4.80
2024-09-30,5.175,5.051,5.025,4.79
2024-10-01,5.150,5.145,5.136,4.80
2024-10-02,5.250,5.072,5.071,4.80
2024-10-03,5.150,5.161,5.171,4.80
2024-10-04,5.100,5.158,5.142,4.80
2024-10-07,5.225,5.133,5.118,4.80
2024-10-08,5.075,5.174,5.175,4.80
2024-10-09,5.125,5.119,5.110,4.80
2024-10-10,5.075,5.102,5.096,4.80
2024-10-11,4.930,5.156,5.103,4.80
2024-10-14,4.930,4.962,4.951,4.80
2024-10-15,4.960,4.942,4.943,4.80
2024-10-16,4.950,4.907,4.920,4.80
2024-10-17,4.920,4.960,4.948,4.80
2024-10-18,5.100,4.939,4.926,4.80
2024-10-21,5.275,4.993,5.043,4.80
2024-10-22,5.300,5.245,5.223,4.80
2024-10-23,5.275,5.212,5.224,4.80
2024-10-24,5.225,5.275,5.225,4.80
2024-10-25,5.250,5.264,5.216,4.80
2024-10-28,5.125,5.152,5.151,4.80
2024-10-29,5.200,5.194,5.152,4.80
2024-10-30,5.100,5.162,5.129,4.80
2024-10-31,5.075,5.180,5.155,4.80
2024-11-01,5.125,5.164,5.106,4.80
2024-11-04,5.175,5.040,5.038,4.80
2024-11-05,5.050,5.170,5.162,4.80
2024-11-06,5.000,5.100,5.084,4.80
2024-11-07,4.960,5.023,5.059,4.80
2024-11-08,4.970,5.014,5.023,4.80
2024-11-11,4.970,4.906,4.924,4.80
2024-11-12,5.025,4.943,4.966,4.80
2024-11-13,4.950,4.975,5.004,4.80
2024-11-14,4.940,4.978,4.973,4.80
2024-11-15,4.930,4.959,4.972,4.80
2024-11-18,4.970,4.943,4.964,4.80
2024-11-19,5.000,4.943,4.963,4.80
2024-11-20,4.890,5.009,5.019,4.80
2024-11-21,4.910,4.909,4.936,4.80
2024-11-22,5.175,4.923,4.936,4.80
2024-11-25,5.150,5.114,5.139,4.80
2024-11-26,5.125,5.147,5.179,4.80
2024-11-27,5.100,5.149,5.188,4.80
2024-11-28,4.940,5.140,5.071,4.80
2024-11-29,5.125,5.076,5.004,4.80
2024-12-02,5.225,5.070,5.102,4.80
2024-12-03,5.200,5.075,5.205,4.80
2024-12-04,5.150,5.186,5.178,4.80
2024-12-05,5.225,5.137,5.118,4.80
2024-12-06,5.225,5.105,5.191,4.80
2024-12-09,5.250,5.180,5.206,4.80
2024-12-10,5.100,5.173,5.255,4.80
2024-12-11,5.125,5.252,5.160,4.80
2024-12-12,5.125,5.172,5.130,4.80
2024-12-13,4.980,5.130,5.100,4.80
2024-12-16,5.000,5.107,5.044,4.80
2024-12-17,4.880,5.082,4.880,4.80
2024-12-18,4.870,5.037,5.030,4.80
2024-12-19,4.950,4.924,4.890,4.80
2024-12-20,4.880,4.901,4.895,4.80
2024-12-23,4.930,4.923,4.934,4.80
2024-12-24,4.900,4.933,4.943,4.80
2024-12-27,4.860,4.915,4.937,4.80
2024-12-30,4.920,4.897,4.914,4.80
2024-12-31,4.810,4.903,4.961,4.80
2025-01-02,4.900,4.956,4.964,4.80
2025-01-03,4.750,4.934,4.940,4.80
2025-01-06,4.750,4.931,4.917,4.80
2025-01-07,4.940,4.859,4.864,4.80
2025-01-08,4.880,4.892,4.935,4.80
2025-01-09,4.940,4.913,4.908,4.80
2025-01-10,4.910,4.888,4.795,4.80
2025-01-13,4.910,4.850,4.836,4.80
2025-01-14,4.960,4.803,4.915,4.80
2025-01-15,4.900,4.843,4.930,4.80
2025-01-16,4.870,4.880,4.943,4.80
2025-01-17,4.780,4.938,4.938,4.80
2025-01-20,4.800,4.928,4.960,4.80
2025-01-21,5.950,4.944,4.956,4.80
2025-01-22,5.900,4.906,4.949,4.80
2025-01-23,5.875,4.920,4.938,4.80
2025-01-24,5.875,4.919,4.816,4.80
2025-01-30,5.875,4.832,4.842,4.80