Tanggal,Forecast_SARIMAX
2024-12-31,4.908880079260434
2025-01-02,4.906817524947088
2025-01-03,4.9061483889675195
2025-01-06,4.919686920612771
2025-01-07,4.912527997472431
2025-01-08,4.9134919396816015
2025-01-09,4.913444002018999
2025-01-10,4.909694363736281
2025-01-13,4.907932057076196
2025-01-14,4.906363429868225
2025-01-15,4.920094982478634
2025-01-16,4.912190416380635
2025-01-17,4.913650535909022
2025-01-20,4.913504457565657
2025-01-21,4.909872392867895
2025-01-22,4.908106893556939
2025-01-23,4.906546621441986
2025-01-24,4.9202763370903915
2025-01-30,4.912378744177648
2025-01-31,4.913834217040641
2025-02-03,4.9136890567463
2025-02-04,4.910055891359307
2025-02-05,4.908290421882881
2025-02-06,4.906730071547645
2025-02-07,4.920459804385747
2025-02-10,4.912562146202598
2025-02-11,4.9140176625580105
2025-02-12,4.913872493670613
2025-02-13,4.91023933858604
2025-02-14,4.908473868830353
2025-02-17,4.906913519227255
2025-02-18,4.920643251904462
2025-02-19,4.912745594332243
2025-02-20,4.914201110280567
2025-02-21,4.914055941473601
2025-02-24,4.910422786292597
2025-02-25,4.908657316539523
2025-02-26,4.907096966929573
2025-02-27,4.920826699608286
2025-02-28,4.912929042030349
2025-03-03,4.9143845579824825
2025-03-04,4.914239389174764
2025-03-05,4.910606233994662
2025-03-06,4.908840764241565
2025-03-07,4.907280414631678
2025-03-10,4.921010147310376
2025-03-11,4.913112489732494
2025-03-12,4.9145680056845915
2025-03-13,4.91442283687688
2025-03-14,4.91078968169677
2025-03-17,4.909024211943673
2025-03-18,4.907463862333786
2025-03-19,4.921193595012484
2025-03-20,4.913295937434601
2025-03-21,4.914751453386699
2025-03-24,4.914606284578986
2025-03-25,4.910973129398878
2025-03-26,4.90920765964578
2025-03-27,4.907647310035893
2025-03-28,4.9213770427145915
2025-03-31,4.913479385136708
2025-04-01,4.914934901088806
2025-04-02,4.914789732281093
2025-04-03,4.911156577100985
2025-04-04,4.909391107347887
2025-04-07,4.907830757738
2025-04-08,4.921560490416699
2025-04-09,4.913662832838815
2025-04-10,4.915118348790913
2025-04-11,4.914973179983201
2025-04-14,4.911340024803092
2025-04-15,4.9095745550499945
2025-04-16,4.908014205440107
2025-04-17,4.921743938118806
2025-04-18,4.913846280540922
2025-04-21,4.91530179649302
2025-04-22,4.915156627685308
2025-04-23,4.911523472505199
2025-04-24,4.909758002752102
2025-04-25,4.9081976531422145
2025-04-28,4.921927385820913
2025-04-29,4.91402972824303
2025-04-30,4.915485244195128
2025-05-01,4.915340075387415
2025-05-02,4.9117069202073065
2025-05-05,4.909941450454209
2025-05-06,4.908381100844322
2025-05-07,4.92211083352302
2025-05-08,4.914213175945137
2025-05-09,4.915668691897235
2025-05-12,4.915523523089522
2025-05-13,4.911890367909414
2025-05-14,4.910124898156316
2025-05-15,4.908564548546429
2025-05-16,4.922294281225128
2025-05-19,4.914396623647244
2025-05-20,4.915852139599342
2025-05-21,4.915706970791629
2025-05-22,4.912073815611521
2025-05-23,4.910308345858423
2025-05-26,4.908747996248536
2025-05-27,4.922477728927235
2025-05-28,4.914580071349351
2025-05-29,4.916035587301449
2025-05-30,4.915890418493737
2025-06-02,4.912257263313628
2025-06-03,4.910491793560531
2025-06-04,4.908931443950643
2025-06-05,4.922661176629342
2025-06-06,4.9147635190514585
2025-06-09,4.916219035003556
2025-06-10,4.916073866195844
2025-06-11,4.912440711015735
2025-06-12,4.910675241262638
2025-06-13,4.9091148916527505
2025-06-16,4.922844624331449
2025-06-17,4.914946966753566
2025-06-18,4.916402482705664
2025-06-19,4.916257313897951
2025-06-20,4.9126241587178425
2025-06-23,4.910858688964745
2025-06-24,4.909298339354858
2025-06-25,4.923028072033556
2025-06-26,4.915130414455673
2025-06-27,4.916585930407771
2025-06-30,4.916440761600058
2025-07-01,4.91280760641995
2025-07-02,4.911042136666852
2025-07-03,4.909481787056965
2025-07-04,4.923211519735664
2025-07-07,4.91531386215778
2025-07-08,4.916769378109878
2025-07-09,4.9166242093021655
2025-07-10,4.912991054122057
2025-07-11,4.911225584368959
2025-07-14,4.909665234759072
2025-07-15,4.923394967437771
2025-07-16,4.915497309859887
2025-07-17,4.916952825811985
2025-07-18,4.916807657004273
2025-07-21,4.913174501824164
2025-07-22,4.911409032071067
2025-07-23,4.909848682461179
2025-07-24,4.923578415139878
2025-07-25,4.9156807575619945
2025-07-28,4.917136273514092
2025-07-29,4.91699110470638
2025-07-30,4.913357949526271
2025-07-31,4.911592479773174
2025-08-01,4.9100321301632865
2025-08-04,4.923761862841985
2025-08-05,4.915864205264102
2025-08-06,4.9173197212162
2025-08-07,4.917174552408487
2025-08-08,4.913541397228379
2025-08-11,4.911775927475281
2025-08-12,4.910215577865394
2025-08-13,4.9239453105440925
2025-08-14,4.916047652966209
2025-08-15,4.917503168918307
2025-08-18,4.917358000110594
2025-08-19,4.913724844930486
2025-08-20,4.911959375177388
2025-08-21,4.910399025567501
2025-08-22,4.9241287582462
2025-08-25,4.916231100668316
2025-08-26,4.917686616620414
2025-08-27,4.9175414478127015
2025-08-28,4.913908292632593
2025-08-29,4.912142822879495
2025-09-01,4.910582473269608
2025-09-02,4.924312205948307
2025-09-03,4.9164145483704225
2025-09-04,4.917870064322521
2025-09-05,4.917724895514809
2025-09-08,4.9140917403347
2025-09-09,4.912326270581603
2025-09-10,4.910765920971715
2025-09-11,4.924495653650414
2025-09-12,4.91659799607253
2025-09-15,4.9180535120246285
2025-09-16,4.917908343216916
2025-09-17,4.914275188036807
2025-09-18,4.91250971828371
2025-09-19,4.910949368673823
2025-09-22,4.924679101352521
2025-09-23,4.916781443774637
2025-09-24,4.918236959726736
2025-09-25,4.918091790919023
2025-09-26,4.914458635738915
2025-09-29,4.912693165985817
2025-09-30,4.91113281637593
2025-10-01,4.9248625490546285
2025-10-02,4.916964891476744
2025-10-03,4.918420407428843
2025-10-06,4.91827523862113
2025-10-07,4.914642083441022
2025-10-08,4.912876613687924
2025-10-09,4.911316264078037
2025-10-10,4.925045996756736
2025-10-13,4.917148339178851
2025-10-14,4.91860385513095
2025-10-15,4.918458686323238
2025-10-16,4.914825531143129
2025-10-17,4.9130600613900315
2025-10-20,4.911499711780144
2025-10-21,4.925229444458843
2025-10-22,4.9173317868809585
2025-10-23,4.918787302833057
2025-10-24,4.918642134025345
2025-10-27,4.915008978845236
2025-10-28,4.913243509092139
2025-10-29,4.911683159482251
2025-10-30,4.92541289216095
2025-10-31,4.917515234583066
2025-11-03,4.9189707505351645
2025-11-04,4.918825581727452
2025-11-05,4.9151924265473435
2025-11-06,4.913426956794246
2025-11-07,4.911866607184359
2025-11-10,4.925596339863057
2025-11-11,4.917698682285173
2025-11-12,4.919154198237272
2025-11-13,4.919009029429559
2025-11-14,4.915375874249451
2025-11-17,4.913610404496353
2025-11-18,4.912050054886466
2025-11-19,4.9257797875651645
2025-11-20,4.91788212998728
2025-11-21,4.919337645939379
2025-11-24,4.919192477131666
2025-11-25,4.915559321951558
2025-11-26,4.91379385219846
2025-11-27,4.912233502588573
2025-11-28,4.925963235267272
2025-12-01,4.918065577689387
2025-12-02,4.919521093641486
2025-12-03,4.919375924833774
2025-12-04,4.915742769653665
2025-12-05,4.9139772999005675
2025-12-08,4.91241695029068
2025-12-09,4.926146682969379
2025-12-10,4.9182490253914946
2025-12-11,4.919704541343593
2025-12-12,4.919559372535881
2025-12-15,4.915926217355772
2025-12-16,4.914160747602675
2025-12-17,4.9126003979927875
2025-12-18,4.926330130671486
2025-12-19,4.918432473093602
2025-12-22,4.919887989045701
2025-12-23,4.919742820237988
2025-12-24,4.9161096650578795
2025-12-25,4.914344195304782
2025-12-26,4.912783845694895
2025-12-29,4.926513578373593
2025-12-30,4.918615920795709
2025-12-31,4.920071436747808
